Dis_1,Rssi_1,,Dis_2,Rssi_2
5,-37,,6,-46
5,-38,,6,-46
5,-35,,6,-42
5,-38,,6,-45
5,-37,,6,-46
5,-38,,6,-46
5,-39,,6,-42
5,-38,,6,-45
5,-36,,6,-45
5,-34,,6,-45
10,-37,,10,-44
10,-38,,10,-40
10,-37,,10,-41
10,-38,,10,-44
10,-40,,10,-43
10,-37,,10,-44
10,-37,,10,-44
10,-37,,10,-40
10,-39,,10,-44
10,-38,,10,-44
13,-41,,14,-42
13,-38,,14,-42
13,-35,,14,-41
13,-39,,14,-45
13,-38,,14,-46
13,-39,,14,-42
13,-39,,14,-46
13,-37,,14,-41
13,-39,,14,-41
13,-39,,14,-45
16,-40,,16,-42
16,-43,,16,-46
16,-41,,16,-45
16,-40,,16,-45
16,-38,,16,-43
16,-39,,16,-43
16,-40,,16,-46
16,-40,,16,-45
16,-39,,16,-45
16,-40,,16,-45
19,-42,,19,-43
19,-43,,19,-46
19,-41,,19,-42
19,-46,,19,-46
19,-43,,19,-46
19,-42,,19,-46
19,-43,,19,-47
19,-44,,19,-47
19,-40,,19,-43
19,-40,,19,-43
23,-43,,23,-42
23,-46,,23,-42
24,-45,,23,-43
24,-46,,23,-42
24,-45,,23,-42
24,-46,,23,-42
24,-44,,23,-43
24,-45,,23,-42
24,-45,,23,-43
24,-46,,24,-42
27,-50,,25,-42
27,-51,,25,-41
27,-49,,25,-41
27,-49,,25,-42
27,-48,,25,-42
27,-51,,25,-42
27,-50,,25,-42
27,-49,,25,-42
27,-48,,25,-42
27,-49,,25,-42
31,-52,,28,-41
31,-57,,28,-42
31,-50,,28,-40
31,-54,,28,-40
31,-53,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-52,,28,-41
31,-51,,29,-41
34,-61,,30,-41
34,-60,,30,-41
34,-61,,30,-40
34,-61,,31,-40
34,-61,,31,-41
34,-61,,31,-40
34,-59,,31,-40
35,-59,,31,-41
35,-61,,31,-40
35,-61,,31,-41
38,-53,,32,-42
38,-53,,32,-42
38,-51,,32,-42
38,-52,,32,-42
38,-52,,32,-42
38,-52,,33,-41
38,-53,,33,-42
38,-51,,33,-42
39,-52,,33,-45
39,-52,,33,-42
41,-48,,35,-44
42,-47,,35,-43
42,-46,,36,-44
42,-47,,36,-43
42,-47,,36,-44
42,-47,,36,-44
42,-45,,36,-44
42,-47,,36,-44
42,-49,,36,-44
42,-47,,36,-44
46,-49,,39,-45
46,-49,,39,-48
47,-45,,39,-46
47,-46,,39,-45
47,-46,,39,-45
47,-46,,39,-45
47,-45,,39,-45
47,-46,,39,-46
47,-47,,39,-45
47,-46,,39,-45
49,-50,,42,-45
49,-48,,42,-48
49,-47,,42,-45
49,-48,,42,-48
49,-49,,42,-45
49,-45,,42,-45
49,-47,,42,-45
49,-46,,42,-45
50,-45,,43,-48
50,-47,,43,-49
52,-43,,45,-49
52,-43,,45,-46
52,-42,,45,-47
52,-44,,45,-47
53,-40,,45,-49
53,-41,,45,-49
53,-41,,45,-48
53,-45,,45,-49
53,-45,,46,-49
53,-45,,46,-49
56,-40,,46,-49
56,-44,,46,-49
56,-40,,46,-49
56,-40,,46,-50
56,-40,,46,-47
56,-42,,46,-50
57,-45,,46,-50
57,-40,,47,-47
57,-39,,47,-49
57,-41,,47,-49
60,-41,,48,-49
60,-43,,48,-48
60,-42,,48,-45
60,-41,,48,-45
60,-45,,48,-48
60,-41,,48,-45
60,-38,,48,-46
60,-43,,48,-49
60,-43,,48,-49
61,-42,,49,-46
64,-43,,51,-45
64,-39,,51,-46
64,-41,,51,-45
64,-40,,51,-49
64,-38,,51,-45
64,-37,,51,-45
64,-41,,51,-45
64,-39,,51,-45
64,-41,,51,-49
64,-42,,52,-49
66,-40,,54,-50
67,-42,,54,-50
67,-39,,54,-49
67,-42,,54,-46
67,-43,,54,-47
67,-43,,54,-49
67,-41,,54,-49
68,-42,,54,-49
68,-41,,54,-50
68,-43,,54,-47
70,-41,,57,-47
70,-42,,57,-47
70,-41,,57,-48
70,-41,,57,-47
71,-43,,57,-48
71,-40,,57,-48
71,-41,,57,-48
71,-46,,57,-47
71,-42,,57,-48
71,-42,,57,-47
74,-39,,59,-49
74,-38,,59,-48
74,-39,,59,-51
74,-37,,59,-48
74,-38,,59,-49
74,-39,,59,-48
74,-37,,60,-49
74,-39,,60,-51
74,-40,,60,-50
75,-40,,60,-49
78,-42,,62,-57
78,-40,,62,-53
78,-38,,62,-53
78,-38,,62,-54
79,-42,,62,-53
79,-38,,62,-54
79,-40,,62,-53
79,-37,,62,-54
80,-39,,62,-54
80,-40,,63,-53
82,-38,,65,-61
82,-39,,65,-61
82,-40,,65,-61
82,-38,,65,-61
82,-38,,65,-62
82,-40,,65,-62
83,-39,,65,-61
83,-39,,65,-62
83,-40,,66,-61
83,-41,,66,-61
86,-38,,68,-71
86,-37,,68,-71
86,-38,,68,-72
86,-37,,68,-73
87,-38,,68,-71
87,-38,,68,-71
87,-38,,68,-70
87,-36,,68,-70
87,-39,,68,-71
87,-37,,68,-71
89,-40,,71,-56
89,-39,,71,-56
90,-42,,71,-56
90,-41,,71,-56
90,-39,,71,-56
90,-41,,71,-56
90,-39,,71,-56
90,-38,,71,-56
90,-41,,72,-56
91,-38,,72,-56
93,-40,,74,-59
93,-41,,74,-59
93,-42,,74,-60
94,-39,,74,-59
94,-42,,75,-59
94,-42,,75,-59
94,-42,,75,-59
94,-42,,75,-59
94,-42,,75,-59
95,-43,,75,-59
97,-40,,77,-53
97,-43,,77,-54
97,-41,,77,-54
98,-42,,77,-54
98,-41,,77,-54
98,-42,,77,-55
99,-41,,77,-55
99,-44,,77,-54
99,-42,,77,-53
99,-42,,78,-54
99,-39,,80,-49
99,-42,,80,-49
100,-42,,80,-49
100,-41,,80,-49
100,-42,,80,-50
100,-43,,80,-49
102,-39,,80,-49
102,-41,,81,-49
102,-42,,81,-49
103,-40,,81,-50
103,-43,,83,-49
104,-40,,83,-49
104,-41,,83,-49
105,-39,,83,-49
106,-40,,83,-50
106,-40,,83,-51
107,-41,,83,-49
107,-41,,83,-49
107,-42,,83,-49
107,-41,,83,-51
108,-41,,86,-49
108,-41,,86,-50
108,-43,,86,-50
108,-41,,86,-49
108,-38,,87,-49
109,-41,,87,-50
109,-40,,87,-49
110,-41,,87,-49
110,-39,,87,-52
110,-42,,88,-49
111,-40,,90,-51
111,-40,,90,-54
111,-38,,91,-51
112,-41,,91,-50
112,-41,,91,-55
112,-41,,91,-50
113,-39,,91,-55
113,-41,,91,-50
114,-41,,92,-55
114,-39,,92,-50
114,-40,,93,-53
114,-43,,93,-49
115,-38,,93,-49
115,-38,,93,-52
115,-39,,93,-54
115,-45,,94,-50
116,-40,,94,-50
116,-39,,94,-49
116,-49,,94,-52
117,-38,,94,-50
117,-39,,94,-49
117,-48,,95,-53
117,-49,,96,-51
117,-49,,96,-51
117,-48,,96,-52
117,-47,,96,-52
117,-46,,96,-52
118,-38,,96,-53
118,-46,,97,-52
118,-48,,97,-53
118,-47,,97,-52
119,-41,,99,-58
119,-40,,99,-59
119,-41,,99,-59
119,-39,,100,-59
119,-39,,100,-58
119,-47,,100,-58
120,-40,,100,-58
120,-41,,100,-58
120,-41,,101,-58
120,-46,,101,-58
120,-46,,102,-63
120,-46,,102,-62
120,-45,,103,-62
121,-41,,103,-62
121,-39,,103,-62
122,-43,,103,-63
122,-41,,103,-63
122,-47,,103,-61
122,-47,,103,-61
123,-42,,104,-62
123,-42,,105,-58
124,-42,,105,-58
124,-41,,105,-58
124,-43,,105,-58
124,-43,,105,-58
124,-43,,105,-58
124,-60,,105,-58
124,-48,,106,-58
125,-43,,106,-58
125,-60,,106,-58
125,-58,,107,-56
125,-60,,108,-57
125,-58,,108,-56
125,-49,,108,-56
125,-47,,108,-56
126,-42,,108,-56
126,-43,,108,-56
126,-44,,109,-56
126,-43,,109,-56
126,-44,,109,-56
126,-60,,110,-57
126,-48,,111,-57
127,-43,,111,-58
127,-42,,111,-57
127,-42,,111,-57
127,-41,,111,-57
127,-43,,111,-57
127,-59,,111,-57
127,-48,,112,-57
127,-49,,112,-56
127,-49,,113,-49
127,-48,,114,-50
127,-52,,114,-50
127,-51,,114,-50
127,-50,,114,-50
127,-50,,114,-50
127,-50,,114,-50
127,-51,,114,-50
128,-60,,114,-49
128,-48,,114,-49
128,-49,,116,-51
128,-50,,117,-51
128,-50,,117,-51
128,-51,,117,-51
129,-50,,117,-51
129,-50,,117,-51
129,-51,,117,-51
130,-42,,117,-51
130,-44,,118,-51
130,-43,,118,-51
130,-50,,119,-51
130,-49,,119,-51
130,-49,,119,-50
130,-49,,119,-51
130,-50,,119,-50
130,-48,,120,-51
131,-46,,120,-51
131,-44,,120,-51
131,-43,,120,-51
131,-45,,120,-50
131,-44,,122,-50
131,-46,,123,-50
131,-61,,123,-50
131,-49,,123,-50
131,-49,,123,-50
131,-50,,123,-50
131,-51,,123,-50
132,-45,,123,-50
132,-49,,123,-50
132,-51,,123,-50
133,-50,,125,-55
133,-49,,125,-53
133,-49,,125,-53
133,-49,,125,-55
133,-51,,125,-55
133,-49,,126,-55
134,-50,,126,-55
134,-48,,126,-55
135,-42,,126,-55
135,-41,,126,-55
135,-41,,128,-51
135,-41,,128,-51
135,-43,,128,-51
135,-49,,128,-51
135,-46,,129,-51
135,-48,,129,-51
135,-49,,129,-51
136,-41,,129,-51
136,-43,,129,-51
136,-51,,129,-51
136,-47,,130,-51
136,-46,,131,-51
136,-47,,131,-52
136,-47,,131,-51
136,-48,,131,-51
136,-50,,131,-51
137,-41,,131,-51
137,-40,,132,-51
137,-42,,132,-51
137,-43,,132,-51
137,-41,,133,-56
137,-44,,133,-56
137,-43,,134,-56
137,-43,,134,-55
137,-41,,134,-56
137,-47,,134,-56
137,-48,,134,-56
137,-46,,134,-55
137,-50,,135,-56
137,-51,,135,-56
137,-49,,136,-54
137,-49,,137,-52
137,-49,,137,-54
138,-43,,137,-51
138,-43,,137,-52
138,-40,,137,-52
138,-42,,138,-51
138,-49,,138,-52
138,-49,,138,-52
138,-52,,138,-52
138,-52,,139,-53
138,-50,,139,-54
138,-52,,140,-53
139,-48,,140,-52
139,-53,,140,-54
139,-53,,140,-52
139,-53,,141,-54
139,-53,,141,-52
140,-50,,141,-52
140,-49,,141,-53
140,-54,,142,-51
140,-52,,142,-51
140,-51,,143,-51
140,-53,,143,-52
140,-51,,143,-51
141,-45,,143,-51
141,-44,,143,-51
141,-44,,143,-52
141,-45,,143,-52
141,-43,,143,-51
141,-44,,145,-49
141,-43,,145,-49
141,-51,,145,-49
141,-52,,145,-49
141,-52,,145,-50
142,-44,,145,-49
142,-51,,146,-50
142,-52,,146,-49
142,-52,,146,-49
143,-42,,147,-50
143,-53,,148,-49
143,-47,,148,-49
144,-49,,148,-49
144,-48,,148,-49
144,-52,,149,-48
145,-44,,149,-50
145,-50,,149,-50
145,-50,,149,-49
145,-49,,149,-49
145,-50,,150,-50
145,-49,,150,-49
145,-49,,150,-49
145,-50,,150,-50
145,-49,,150,-49
145,-49,,150,-49
146,-49,,150,-50
146,-52,,151,-50
146,-53,,151,-50
146,-52,,151,-49
146,-54,,151,-49
146,-53,,153,-49
146,-54,,153,-49
146,-53,,153,-49
146,-52,,154,-48
146,-52,,154,-49
147,-50,,154,-49
147,-52,,154,-49
147,-51,,154,-49
147,-54,,154,-49
147,-48,,154,-49
147,-50,,156,-49
147,-49,,156,-50
148,-50,,157,-49
148,-50,,157,-49
148,-50,,157,-49
148,-50,,157,-49
148,-50,,157,-50
148,-53,,157,-49
148,-51,,157,-49
148,-53,,157,-49
148,-53,,159,-49
148,-53,,159,-50
148,-50,,159,-50
148,-47,,159,-50
148,-49,,160,-49
148,-50,,160,-50
148,-51,,160,-49
149,-50,,160,-50
149,-50,,160,-49
149,-51,,160,-50
149,-50,,162,-54
149,-49,,162,-54
149,-51,,162,-55
149,-52,,162,-55
149,-51,,162,-54
149,-47,,162,-54
149,-51,,163,-53
149,-50,,163,-54
149,-50,,163,-54
149,-51,,164,-54
149,-49,,164,-53
150,-48,,164,-54
150,-51,,164,-54
150,-51,,164,-53
150,-51,,164,-54
151,-46,,165,-55
151,-43,,165,-55
152,-45,,165,-54
152,-44,,165,-53
152,-44,,165,-54
152,-42,,167,-52
152,-44,,167,-52
152,-45,,167,-52
152,-52,,167,-52
153,-44,,167,-52
153,-44,,168,-52
154,-48,,168,-52
155,-44,,168,-53
155,-46,,168,-52
155,-45,,168,-52
155,-44,,170,-53
155,-46,,170,-53
155,-46,,170,-52
155,-49,,170,-52
155,-51,,170,-53
155,-49,,170,-53
155,-49,,170,-54
155,-48,,170,-54
155,-47,,170,-52
156,-46,,170,-52
156,-46,,173,-49
156,-43,,173,-50
156,-44,,173,-49
156,-49,,173,-50
156,-47,,174,-50
156,-47,,174,-49
156,-47,,174,-50
156,-46,,174,-50
157,-46,,174,-50
157,-47,,175,-49
158,-48,,175,-50
158,-46,,175,-50
158,-51,,175,-49
159,-43,,176,-50
159,-45,,176,-50
159,-44,,176,-50
159,-44,,176,-49
159,-43,,176,-50
159,-45,,176,-50
159,-49,,177,-50
159,-52,,201,-51
159,-54,,202,-51
159,-53,,202,-51
159,-52,,202,-51
159,-51,,202,-51
160,-44,,202,-51
160,-45,,202,-51
160,-48,,202,-51
160,-53,,202,-51
160,-52,,203,-51
160,-51,,204,-50
160,-52,,204,-50
161,-45,,204,-50
162,-44,,204,-50
162,-49,,204,-50
162,-46,,204,-50
162,-47,,204,-50
162,-49,,204,-50
162,-48,,204,-50
162,-46,,205,-50
162,-48,,206,-53
163,-47,,206,-54
163,-46,,207,-53
163,-47,,207,-53
163,-48,,207,-55
163,-44,,207,-53
164,-46,,207,-53
164,-46,,208,-55
164,-46,,209,-52
164,-46,,209,-53
165,-48,,209,-63
165,-50,,209,-52
165,-49,,210,-54
165,-49,,210,-54
165,-49,,210,-54
165,-48,,210,-53
165,-48,,210,-53
165,-48,,211,-54
165,-45,,211,-53
165,-44,,212,-52
165,-44,,213,-52
165,-45,,213,-52
166,-48,,214,-52
166,-49,,214,-52
166,-49,,214,-51
166,-45,,214,-52
167,-45,,214,-53
167,-48,,214,-51
168,-52,,215,-55
168,-52,,216,-54
168,-52,,216,-53
169,-48,,216,-54
169,-49,,216,-55
169,-48,,216,-54
169,-49,,216,-54
169,-49,,216,-55
169,-53,,216,-54
169,-53,,217,-52
169,-53,,217,-52
170,-50,,218,-54
170,-49,,218,-59
170,-48,,218,-58
170,-50,,218,-58
170,-51,,219,-58
171,-47,,219,-58
171,-45,,219,-58
171,-52,,219,-59
171,-53,,220,-58
171,-55,,220,-58
172,-46,,222,-61
172,-45,,222,-62
172,-45,,222,-61
172,-46,,222,-62
172,-45,,222,-62
172,-46,,222,-62
172,-50,,223,-62
172,-51,,224,-61
172,-53,,224,-61
172,-54,,224,-60
172,-57,,224,-56
173,-48,,224,-55
173,-61,,224,-55
173,-53,,225,-56
173,-54,,225,-55
175,-46,,225,-55
175,-45,,225,-55
175,-46,,225,-55
175,-46,,226,-55
175,-56,,227,-55
175,-56,,227,-51
176,-45,,227,-51
176,-45,,227,-52
176,-45,,227,-51
176,-43,,227,-52
176,-44,,227,-52
176,-44,,227,-52
176,-47,,228,-52
176,-47,,228,-52
177,-54,,228,-55
177,-45,,229,-54
177,-46,,229,-56
177,-48,,229,-55
178,-47,,229,-55
178,-45,,230,-55
178,-43,,230,-56
178,-45,,230,-56
179,-48,,231,-52
179,-45,,231,-56
179,-45,,231,-55
179,-46,,232,-57
179,-44,,232,-57
180,-44,,232,-57
181,-45,,232,-56
181,-44,,232,-56
182,-45,,233,-57
182,-48,,233,-57
183,-43,,233,-57
185,-46,,233,-57
186,-48,,234,-56
187,-48,,234,-55
187,-48,,234,-56
188,-47,,234,-55
188,-46,,234,-56
190,-47,,235,-55
190,-47,,235,-55
199,-47,,235,-55
199,-47,,235,-56
199,-47,,236,-58
199,-49,,236,-56
199,-46,,236,-55
200,-48,,238,-52
201,-45,,238,-51
204,-51,,238,-52
207,-51,,239,-53
211,-51,,239,-52
212,-51,,239,-52
212,-49,,239,-51
212,-50,,239,-51
213,-52,,240,-58
213,-50,,240,-57
213,-49,,241,-51
214,-48,,241,-58
237,-51,,241,-58
244,-50,,241,-58
245,-48,,241,-59
245,-51,,241,-60
245,-51,,242,-58
245,-52,,242,-60
